
Active Connections

  Proto  Local Address          Foreign Address        State           Offload State
  TCP    127.0.0.1:58831        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58832        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58833        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58834        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58835        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58836        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58837        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58838        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58839        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58840        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58841        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58842        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58843        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58844        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58845        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58846        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58847        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58848        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58849        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58850        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58851        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58852        127.0.0.1:6880         TIME_WAIT       InHost      
